position,team,played,wins,draws,loses,goals_for,goals_against,goal_diff,points,promotion_qualification_or_relegation,season,pts
1,Sunderland,46,29,7,10,76,41,35,94,Promotion to the FA Premier League,2004-2005,94
2,Wigan Athletic,46,25,12,9,79,35,44,87,Promotion to the FA Premier League,2004-2005,87
3,Ipswich Town,46,24,13,9,85,56,29,85,Qualification for Championship play-offs,2004-2005,85
4,Derby County,46,22,10,14,71,60,11,76,Qualification for Championship play-offs,2004-2005,76
5,Preston North End,46,21,12,13,67,58,9,75,Qualification for Championship play-offs,2004-2005,75
6,West Ham United,46,21,10,15,66,56,10,73,Qualification for Championship play-offs,2004-2005,73
7,Reading,46,19,13,14,51,44,7,70,,2004-2005,70
8,Sheffield United,46,18,13,15,57,56,1,67,,2004-2005,67
9,Wolverhampton Wanderers,46,15,21,10,72,59,13,66,,2004-2005,66
10,Millwall,46,18,12,16,51,45,6,66,,2004-2005,66
11,Queens Park Rangers,46,17,11,18,54,58,-4,62,,2004-2005,62
12,Stoke City,46,17,10,19,36,38,-2,61,,2004-2005,61
13,Burnley,46,15,15,16,38,39,-1,60,,2004-2005,60
14,Leeds United,46,14,18,14,49,52,-3,60,,2004-2005,60
15,Leicester City,46,12,21,13,49,46,3,57,,2004-2005,57
16,Cardiff City,46,13,15,18,48,51,-3,54,,2004-2005,54
17,Plymouth Argyle,46,14,11,21,52,64,-12,53,,2004-2005,53
18,Watford,46,12,16,18,52,59,-7,52,,2004-2005,52
19,Coventry City,46,13,13,20,61,73,-12,52,,2004-2005,52
20,Brighton & Hove Albion,46,13,12,21,40,65,-25,51,,2004-2005,51
21,Crewe Alexandra,46,12,14,20,66,86,-20,50,,2004-2005,50
22,Gillingham,46,12,14,20,45,66,-21,50,Relegation to Football League One,2004-2005,50
23,Nottingham Forest,46,9,17,20,42,66,-24,44,Relegation to Football League One,2004-2005,44
24,Rotherham United,46,5,14,27,35,69,-34,29,Relegation to Football League One,2004-2005,29
