position,team,played,wins,draws,loses,goals_for,goals_against,goal_diff,points,promotion_qualification_or_relegation,season,pts
1,Crystal Palace,46,27,9,10,73,46,27,90,Promotion to the Premier League,1993-1994,90
2,Nottingham Forest,46,23,14,9,74,49,25,83,Promotion to the Premier League,1993-1994,83
3,Millwall,46,19,17,10,58,49,9,74,Qualification for the First Division play-offs,1993-1994,74
4,Leicester City,46,19,16,11,72,59,13,73,Qualification for the First Division play-offs,1993-1994,73
5,Tranmere Rovers,46,21,9,16,69,53,16,72,Qualification for the First Division play-offs,1993-1994,72
6,Derby County,46,20,11,15,73,68,5,71,Qualification for the First Division play-offs,1993-1994,71
7,Notts County,46,20,8,18,65,69,-4,68,,1993-1994,68
8,Wolverhampton Wanderers,46,17,17,12,60,47,13,68,,1993-1994,68
9,Middlesbrough,46,18,13,15,66,54,12,67,,1993-1994,67
10,Stoke City,46,18,13,15,57,59,-2,67,,1993-1994,67
11,Charlton Athletic,46,19,8,19,61,58,3,65,,1993-1994,65
12,Sunderland,46,19,8,19,54,57,-3,65,,1993-1994,65
13,Bristol City,46,16,16,14,47,50,-3,64,,1993-1994,64
14,Bolton Wanderers,46,15,14,17,63,64,-1,59,,1993-1994,59
15,Southend United,46,17,8,21,63,67,-4,59,,1993-1994,59
16,Grimsby Town,46,13,20,13,52,47,5,59,,1993-1994,59
17,Portsmouth,46,15,13,18,52,58,-6,58,,1993-1994,58
18,Barnsley,46,16,7,23,55,67,-12,55,,1993-1994,55
19,Watford,46,15,9,22,66,80,-14,54,,1993-1994,54
20,Luton Town,46,14,11,21,56,60,-4,53,,1993-1994,53
21,West Bromwich Albion,46,13,12,21,60,69,-9,51,,1993-1994,51
22,Birmingham City,46,13,12,21,52,69,-17,51,Relegation to the Second Division,1993-1994,51
23,Oxford United,46,13,10,23,54,75,-21,49,Relegation to the Second Division,1993-1994,49
24,Peterborough United,46,8,13,25,48,76,-28,37,Relegation to the Second Division,1993-1994,37
