pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Sunderland,46,22,17,7,59,33,26,83,Promotion to the Premier League,1995-1996
2,Derby County,46,21,16,9,71,51,20,79,Promotion to the Premier League,1995-1996
3,Crystal Palace,46,20,15,11,67,48,19,75,Qualification for the First Division play-offs,1995-1996
4,Stoke City,46,20,13,13,60,49,11,73,Qualification for the First Division play-offs,1995-1996
5,Leicester City,46,19,14,13,66,60,6,71,Qualification for the First Division play-offs,1995-1996
6,Charlton Athletic,46,17,20,9,57,45,12,71,Qualification for the First Division play-offs,1995-1996
7,Ipswich Town,46,19,12,15,79,69,10,69,,1995-1996
8,Huddersfield Town,46,17,12,17,61,58,3,63,,1995-1996
9,Sheffield United,46,16,14,16,57,54,3,62,,1995-1996
10,Barnsley,46,14,18,14,60,66,-6,60,,1995-1996
11,West Bromwich Albion,46,16,12,18,60,68,-8,60,,1995-1996
12,Port Vale,46,15,15,16,59,66,-7,60,,1995-1996
13,Tranmere Rovers,46,14,17,15,64,60,4,59,,1995-1996
14,Southend United,46,15,14,17,52,61,-9,59,,1995-1996
15,Birmingham City,46,15,13,18,61,64,-3,58,,1995-1996
16,Norwich City,46,14,15,17,59,55,4,57,,1995-1996
17,Grimsby Town,46,14,14,18,55,69,-14,56,,1995-1996
18,Oldham Athletic,46,14,14,18,54,50,4,56,,1995-1996
19,Reading,46,13,17,16,54,63,-9,56,,1995-1996
20,Wolverhampton Wanderers,46,13,16,17,56,62,-6,55,,1995-1996
21,Portsmouth,46,13,13,20,61,69,-8,52,,1995-1996
22,Millwall,46,13,13,20,43,63,-20,52,Relegation to the Second Division,1995-1996
23,Watford,46,10,18,18,62,70,-8,48,Relegation to the Second Division,1995-1996
24,Luton Town,46,11,12,23,40,64,-24,45,Relegation to the Second Division,1995-1996
