pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Rushden & Diamonds,46,24,15,7,73,47,26,87,Promotion to Football League Second Division,2002-2003
2,Hartlepool United,46,24,13,9,71,51,20,85,Promotion to Football League Second Division,2002-2003
3,Wrexham,46,23,15,8,84,50,34,84,Promotion to Football League Second Division,2002-2003
4,Bournemouth,46,20,14,12,60,48,12,74,Qualification for the Third Division play-offs,2002-2003
5,Scunthorpe United,46,19,15,12,68,49,19,72,Qualification for the Third Division play-offs,2002-2003
6,Lincoln City,46,18,16,12,46,37,9,70,Qualification for the Third Division play-offs,2002-2003
7,Bury,46,18,16,12,57,56,1,70,Qualification for the Third Division play-offs,2002-2003
8,Oxford United,46,19,12,15,57,47,10,69,,2002-2003
9,Torquay United,46,16,18,12,71,71,0,66,,2002-2003
10,York City,46,17,15,14,52,53,-1,66,,2002-2003
11,Kidderminster Harriers,46,16,15,15,62,63,-1,63,,2002-2003
12,Cambridge United,46,16,13,17,67,70,-3,61,,2002-2003
13,Hull City,46,14,17,15,58,53,5,59,,2002-2003
14,Darlington,46,12,18,16,58,59,-1,54,,2002-2003
15,Boston United,46,15,13,18,55,56,-1,54,,2002-2003
16,Macclesfield Town,46,14,12,20,57,63,-6,54,,2002-2003
17,Southend United,46,17,3,26,47,59,-12,54,,2002-2003
18,Leyton Orient,46,14,11,21,51,61,-10,53,,2002-2003
19,Rochdale,46,12,16,18,63,70,-7,52,,2002-2003
20,Bristol Rovers,46,12,15,19,50,57,-7,51,,2002-2003
21,Swansea City,46,12,13,21,48,65,-17,49,,2002-2003
22,Carlisle United,46,13,10,23,52,78,-26,49,,2002-2003
23,Exeter City,46,11,15,20,50,64,-14,48,Relegation to Football Conference,2002-2003
24,Shrewsbury Town,46,9,14,23,62,92,-30,41,Relegation to Football Conference,2002-2003
